ID,Price,Levy,Brand,Model,Year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags,Fuel Efficiency
45790136,6899,-,bmw,x5,2000,Jeep,Yes,CNG,4.4,200000 km,8.0,Automatic,4x4,04-May,Left wheel,Silver,6,15.619047619047619
45770026,125,1750,toyota,highlander,2008,Sedan,Yes,Hybrid,3.3,287274 km,6.0,Automatic,4x4,04-May,Left wheel,White,12,23.375
45642526,7527,1486,honda,fit,2010,Hatchback,No,Hybrid,1.3,158000 km,4.0,Automatic,Front,04-May,Right-hand drive,Black,4,31.692307692307693
45801668,19121,531,hyundai,elantra,2012,Sedan,Yes,Petrol,1.6,103490 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4,28.050505050505052
45815051,24462,751,toyota,camry,2013,Sedan,Yes,Petrol,2.4,203200 km,4.0,Automatic,Front,04-May,Left wheel,Blue,4,23.541353383458645
45667253,20165,650,volkswagen,jetta,2016,Sedan,Yes,Petrol,1.4 Turbo,11200 km,4.0,Tiptronic,Front,04-May,Left wheel,Black,8,27.428571428571427
45108412,21326,382,hyundai,sonata,2014,Sedan,Yes,Hybrid,2.4,141000 km,4.0,Tiptronic,Front,04-May,Left wheel,White,12,23.79824561403509
45810322,549,1436,porsche,cayenne,2010,Jeep,Yes,Petrol,3.6,160259 km,6.0,Automatic,4x4,04-May,Left wheel,Silver,12,17.580645161290324
45726453,15681,503,toyota,prius c,2012,Hatchback,No,Hybrid,1.5,128000 km,4.0,Variator,Front,04-May,Left wheel,Sky blue,8,48.22222222222222
45809839,34889,891,honda,civic,2016,Sedan,Yes,Petrol,2,87768 km,4.0,Automatic,Front,04-May,Left wheel,Blue,4,29.164473684210527
45767508,862,1104,audi,q7,2015,Jeep,Yes,Petrol,3,264014 km,6.0,Automatic,4x4,04-May,Left wheel,Black,0,19.058823529411764
44153312,38500,639,audi,q5,2014,Jeep,Yes,Petrol,2,87000 km,1.0,Tiptronic,4x4,04-May,Left wheel,White,12,22.76923076923077
45641216,1411,629,nissan,juke,2015,Jeep,Yes,Petrol,1.6,87112 km,4.0,Automatic,4x4,04-May,Left wheel,Black,0,28.571428571428573
45418626,16935,530,ford,fusion,2013,Sedan,No,Petrol,1.6 Turbo,83000 km,4.0,Tiptronic,Front,04-May,Left wheel,Silver,8,22.444444444444443
45638910,7213,530,nissan,juke,2013,Jeep,Yes,Petrol,1.6,312118 km,4.0,Automatic,Front,04-May,Left wheel,Black,0,28.571428571428573
45803550,9722,765,hyundai,sonata,2015,Sedan,Yes,LPG,2,719847 km,4.0,Automatic,Front,04-May,Left wheel,Orange,4,23.79824561403509
45648175,314,779,toyota,camry,2013,Sedan,Yes,Hybrid,2.5,225510 km,4.0,Automatic,Front,04-May,Left wheel,White,12,23.541353383458645
45816646,14740,645,toyota,prius,2011,Hatchback,No,Hybrid,1.8,288000 km,4.0,Automatic,Front,04-May,Left wheel,White,8,48.625
45624039,42337,-,ford,mustang,2016,Cabriolet,Yes,Petrol,2.3 Turbo,75000 km,4.0,Tiptronic,Rear,02-Mar,Left wheel,Silver,6,19.767441860465116
45787521,18189,-,toyota,prius,2012,Sedan,No,Petrol,1.8,175000 km,4.0,Automatic,Front,04-May,Left wheel,Silver,8,48.625
45759890,862,2455,lexus,gx 470,2008,Jeep,Yes,Petrol,4.7,263190 km,8.0,Automatic,4x4,04-May,Left wheel,White,0,15.0
45648538,5645,1324,toyota,highlander,2010,Jeep,Yes,Hybrid,3.3,264877 km,6.0,Automatic,4x4,04-May,Left wheel,White,12,23.375
45757322,7527,830,toyota,yaris,2019,Sedan,Yes,Petrol,1.5,27656 km,4.0,Automatic,Front,04-May,Left wheel,White,12,32.3448275862069
45800993,21953,1187,honda,civic,2014,Sedan,No,Hybrid,1.4,16000 km,8.0,Automatic,4x4,04-May,Right-hand drive,White,10,29.164473684210527
45771208,21953,781,toyota,camry,2012,Sedan,No,Petrol,2.5,195053 km,4.0,Automatic,Front,04-May,Left wheel,Black,0,23.541353383458645
45801684,19121,531,hyundai,elantra,2012,Sedan,Yes,Petrol,1.6,121362 km,4.0,Automatic,Front,04-May,Left wheel,Black,4,28.050505050505052
43892866,8781,1111,honda,fit,2012,Hatchback,Yes,Hybrid,1.3,83000 km,4.0,Tiptronic,Front,04-May,Right-hand drive,Green,12,31.692307692307693
45810403,6247,760,chevrolet,cruze,2010,Sedan,Yes,Petrol,1.8,40772 km,4.0,Automatic,Front,04-May,Left wheel,Black,4,31.0
45744824,6981,1095,daewoo,lacetti,2008,Sedan,Yes,Petrol,2,103246 km,4.0,Automatic,Front,04-May,Left wheel,Black,4,22.0
45792882,27284,891,hyundai,elantra,2016,Sedan,No,Petrol,2,105394 km,4.0,Tiptronic,Front,04-May,Left wheel,Black,12,28.050505050505052
45749534,4234,-,honda,civic,1997,Hatchback,Yes,Petrol,1.4,0 km,4.0,Manual,Front,02-Mar,Left wheel,Blue,6,29.164473684210527
45797276,15458,966,hyundai,genesis,2009,Coupe,Yes,Petrol,2,123346 km,4.0,Automatic,Front,04-May,Left wheel,Black,4,20.454545454545453
45809760,2901,473,chevrolet,cruze,2014,Sedan,Yes,Petrol,1.4,80827 km,4.0,Automatic,Front,04-May,Left wheel,Green,12,31.0
45810325,706,1138,porsche,911,2013,Coupe,Yes,Petrol,3.8,64464 km,6.0,Automatic,Rear,02-Mar,Left wheel,Black,12,17.5
45813375,314,382,ford,fusion,2015,Sedan,Yes,Hybrid,2,91760 km,4.0,Automatic,Front,04-May,Left wheel,Black,12,22.444444444444443
45756975,15681,1811,lexus,gx 460,2010,Jeep,Yes,Petrol,4.6,275240 km,8.0,Automatic,4x4,04-May,Left wheel,Silver,0,16.5
45550733,10663,988,toyota,prius,2007,Hatchback,No,Petrol,1.5,318400 km,4.0,Automatic,Front,04-May,Left wheel,Silver,6,48.625
45642797,1019,917,bmw,x5,2013,Jeep,Yes,Diesel,3,137802 km,6.0,Automatic,4x4,04-May,Left wheel,Black,12,15.619047619047619
45797948,17158,687,hyundai,elantra,2010,Sedan,Yes,Petrol,1.6,122740 km,4.0,Automatic,Front,04-May,Left wheel,White,4,28.050505050505052
45753393,1254,-,mitsubishi,lancer,1997,Sedan,No,Petrol,1.3,100000 km,4.0,Manual,Rear,04-May,Left wheel,Red,0,24.96875
45624923,94,-,honda,fit,2003,Hatchback,No,Petrol,1.5,178000 km,4.0,Variator,Front,04-May,Right-hand drive,Silver,4,31.692307692307693
45770405,23521,779,toyota,camry,2013,Sedan,Yes,Hybrid,2.5,90000 km,4.0,Tiptronic,Front,04-May,Left wheel,White,12,23.541353383458645
45767451,1019,1537,toyota,highlander,2009,Sedan,Yes,Hybrid,3.3,318358 km,6.0,Automatic,4x4,04-May,Left wheel,Black,12,23.375
45636958,16935,765,ford,fusion,2015,Sedan,Yes,Petrol,2,71454 km,4.0,Automatic,Front,04-May,Left wheel,Black,0,22.444444444444443
45757670,19444,781,toyota,camry,2012,Sedan,Yes,Petrol,2.5,0 km,4.0,Tiptronic,Front,04-May,Left wheel,Black,6,23.541353383458645
45733244,11604,639,hyundai,sonata,2014,Sedan,Yes,LPG,2,346470 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4,23.79824561403509
45646428,706,394,toyota,camry,2014,Sedan,Yes,Hybrid,2.5,115312 km,4.0,Automatic,Front,04-May,Left wheel,Grey,12,23.541353383458645
45767013,549,2866,nissan,maxima,2004,Sedan,Yes,Petrol,3.5,299709 km,6.0,Automatic,Front,04-May,Left wheel,Grey,12,20.753623188405797
45662111,2901,503,honda,civic,2012,Sedan,Yes,Hybrid,1.5,146403 km,4.0,Automatic,Front,04-May,Left wheel,White,0,29.164473684210527
45764126,39829,1811,lexus,gx 460,2010,Jeep,Yes,Petrol,4.6,155821 km,8.0,Automatic,4x4,04-May,Left wheel,Black,0,16.5
45768549,706,1646,lexus,gx 460,2015,Jeep,Yes,Petrol,4.6,102907 km,8.0,Automatic,4x4,04-May,Left wheel,Black,0,16.5
44698379,18660,-,hyundai,sonata,2013,Sedan,Yes,Petrol,2.4,130000 km,4.0,Tiptronic,Front,04-May,Left wheel,Black,6,23.79824561403509
45803455,11604,639,hyundai,sonata,2014,Sedan,Yes,LPG,2,264872 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4,23.79824561403509
45760030,314,259,chevrolet,volt,2014,Hatchback,Yes,Hybrid,1.4,131893 km,4.0,Automatic,Front,04-May,Left wheel,Brown,0,39.22222222222222
45642844,18817,609,toyota,camry,2018,Sedan,Yes,Hybrid,2.5,35058 km,4.0,Automatic,Front,04-May,Left wheel,White,12,23.541353383458645
45462592,9095,-,fiat,500,2011,Coupe,No,Petrol,1.2,141000 km,4.0,Automatic,Front,02-Mar,Right-hand drive,Red,4,30.0
45634898,1568,639,volkswagen,jetta,2014,Sedan,Yes,Diesel,2,82392 km,4.0,Automatic,Front,04-May,Left wheel,Silver,12,27.428571428571427
45777114,3136,-,subaru,legacy,2005,Goods wagon,No,Petrol,2.0 Turbo,180000 km,6.0,Tiptronic,4x4,04-May,Right-hand drive,Blue,6,22.8125
45732976,11290,891,hyundai,sonata,2016,Sedan,Yes,LPG,2,279787 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4,23.79824561403509
45648000,862,394,toyota,camry,2014,Sedan,Yes,Hybrid,2.5,130478 km,4.0,Automatic,Front,04-May,Left wheel,White,12,23.541353383458645
45733140,15681,891,hyundai,sonata,2016,Sedan,Yes,LPG,2,258706 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4,23.79824561403509
45762282,627,475,chevrolet,volt,2012,Jeep,Yes,Hybrid,1.4,188419 km,4.0,Automatic,Front,04-May,Left wheel,Red,0,39.22222222222222
45807577,72130,1079,lexus,nx 300,2018,Jeep,Yes,Petrol,2.0 Turbo,18918 km,4.0,Tiptronic,Front,04-May,Left wheel,Black,6,25.0
45801397,21012,308,toyota,prius,2014,Sedan,No,Hybrid,1.8,160000 km,4.0,Automatic,4x4,04-May,Left wheel,White,4,48.625
45802035,15624,707,hyundai,genesis,2011,Coupe,Yes,Petrol,2,107005 km,4.0,Automatic,Front,04-May,Left wheel,Grey,4,20.454545454545453
45801611,20005,531,hyundai,elantra,2012,Sedan,Yes,Petrol,1.6,104997 km,4.0,Automatic,Front,04-May,Left wheel,White,4,28.050505050505052
45792460,36110,924,volkswagen,passat,2017,Sedan,Yes,Petrol,1.8,27728 km,6.0,Tiptronic,Front,04-May,Left wheel,Silver,8,23.346153846153847
45795520,17249,-,toyota,camry,2011,Sedan,Yes,Hybrid,2.5,152000 km,4.0,Variator,Front,04-May,Left wheel,White,12,23.541353383458645
45808583,627,915,audi,a6,2014,Sedan,Yes,Petrol,3,164488 km,6.0,Automatic,4x4,04-May,Left wheel,Silver,12,22.375
45810208,706,475,fiat,500,2012,Hatchback,Yes,Petrol,1.4,164574 km,4.0,Automatic,Front,04-May,Left wheel,Red,12,30.0
45766275,3136,473,chevrolet,cruze,2014,Sedan,Yes,Petrol,1.4,156992 km,4.0,Automatic,Front,04-May,Left wheel,Black,12,31.0
45792823,2300,-,volkswagen,golf,1996,Sedan,No,CNG,2,0 km,4.0,Manual,Front,04-May,Left wheel,Green,0,28.6625
45813281,1490,639,volkswagen,jetta,2014,Universal,Yes,Diesel,2,113214 km,4.0,Automatic,Front,04-May,Left wheel,Grey,12,27.428571428571427
45646578,4704,917,audi,a7,2013,Hatchback,Yes,Petrol,3,301707 km,6.0,Automatic,4x4,04-May,Left wheel,Grey,0,24.0
45815974,706,751,hyundai,sonata,2013,Sedan,Yes,Petrol,2.4,175827 km,4.0,Automatic,Front,04-May,Left wheel,Black,12,23.79824561403509
45767823,25716,777,toyota,camry,2014,Sedan,No,Petrol,2.5,115200 km,4.0,Automatic,Front,04-May,Left wheel,Silver,8,23.541353383458645
45805683,4391,-,nissan,altima,1998,Sedan,No,Petrol,2.4,358400 km,4.0,Manual,Front,04-May,Left wheel,Brown,2,24.705882352941178
45810372,3058,1872,porsche,cayenne,2018,Sedan,Yes,Petrol,3.6,28968 km,6.0,Automatic,4x4,04-May,Left wheel,White,12,17.580645161290324
45816588,15681,-,suzuki,grand vitara,2008,Jeep,No,Petrol,1.6,98000 km,4.0,Automatic,4x4,02-Mar,Left wheel,Black,12,19.5
45813342,6586,645,lexus,ct 200h,2011,Hatchback,Yes,Hybrid,1.8,122302 km,4.0,Automatic,Front,04-May,Left wheel,Black,0,42.0
45798451,12544,-,toyota,prius,2007,Hatchback,No,Hybrid,1.5,140000 km,4.0,Automatic,Front,04-May,Left wheel,Beige,6,48.625
45156280,72130,1885,porsche,panamera,2010,Hatchback,Yes,Petrol,4.8,196800 km,8.0,Tiptronic,4x4,04-May,Left wheel,White,8,21.533333333333335
45801000,21639,-,hyundai,veloster,2015,Hatchback,No,Petrol,1.6,17200 km,4.0,Tiptronic,Front,02-Mar,Left wheel,Red,10,29.08823529411765
45721264,30,-,honda,fit,2002,Hatchback,No,Petrol,1.5,0 km,4.0,Automatic,Front,04-May,Right-hand drive,Silver,4,31.692307692307693
45783494,10663,-,toyota,prius,2009,Sedan,Yes,Hybrid,1.8,230000 km,4.0,Variator,Front,04-May,Left wheel,Grey,6,48.625
45809193,5620,447,honda,fit,2013,Hatchback,Yes,Petrol,1.3,110467 km,4.0,Automatic,Front,04-May,Left wheel,White,4,31.692307692307693
45095136,9408,1111,honda,fit,2012,Hatchback,No,Hybrid,1.3,64000 km,4.0,Variator,Front,04-May,Right-hand drive,Black,4,31.692307692307693
45612423,3,-,hyundai,elantra,2011,Sedan,Yes,Petrol,1.8,80000 km,4.0,Tiptronic,Front,04-May,Left wheel,Grey,6,28.050505050505052
45781861,15367,640,volkswagen,passat,2013,Sedan,Yes,Diesel,2.0 Turbo,179200 km,4.0,Tiptronic,Front,04-May,Left wheel,White,16,23.346153846153847
45768507,40142,1811,lexus,gx 470,2010,Jeep,Yes,Petrol,4.6,357246 km,8.0,Automatic,4x4,04-May,Left wheel,Grey,0,15.0
45506452,14000,585,hyundai,elantra,2013,Sedan,No,Petrol,1.8,50000 km,4.0,Tiptronic,Front,04-May,Left wheel,Grey,10,28.050505050505052
45809707,17923,473,chevrolet,cruze,2014,Sedan,Yes,Petrol,1.4,127842 km,4.0,Automatic,Front,04-May,Left wheel,White,4,31.0
45813708,7527,640,volkswagen,passat,2013,Sedan,Yes,Diesel,2,132310 km,4.0,Automatic,Front,04-May,Left wheel,Grey,12,23.346153846153847
45813166,3450,1249,toyota,camry,2017,Sedan,Yes,Petrol,2.5,60762 km,4.0,Automatic,Front,04-May,Left wheel,White,12,23.541353383458645
45656681,2901,503,honda,civic,2012,Sedan,Yes,Hybrid,1.5,146403 km,4.0,Automatic,Front,04-May,Left wheel,White,0,29.164473684210527
45812738,4704,585,toyota,corolla,2013,Sedan,Yes,Petrol,1.8,227371 km,4.0,Automatic,Front,04-May,Left wheel,Silver,12,28.743243243243242
45754449,5331,-,volkswagen,passat,2002,Sedan,Yes,Petrol,2.8,175000 km,6.0,Manual,Front,04-May,Left wheel,Grey,6,23.346153846153847
45634846,941,642,volkswagen,jetta,2012,Sedan,Yes,Diesel,2,203440 km,4.0,Automatic,Front,04-May,Left wheel,Black,12,27.428571428571427
45809446,16900,502,honda,fit,2013,Hatchback,Yes,Petrol,1.5,70000 km,4.0,Automatic,Front,04-May,Left wheel,Blue,4,31.692307692307693
45789380,5331,-,mazda,mpv,2000,Minivan,No,Petrol,2.5,127000 km,4.0,Automatic,Front,04-May,Left wheel,Green,4,17.90625
45813976,15524,586,toyota,prius,2012,Hatchback,No,Hybrid,1.8,122324 km,4.0,Automatic,Front,04-May,Left wheel,Red,7,48.625
45794250,73071,-,lexus,gs 350,2013,Sedan,Yes,Petrol,3.5,56000 km,6.0,Tiptronic,Rear,04-May,Left wheel,Black,12,22.53846153846154
45636962,862,333,ford,fusion,2014,Sedan,Yes,Hybrid,2,186048 km,4.0,Automatic,Front,04-May,Left wheel,Black,0,22.444444444444443
45797238,28909,831,hyundai,elantra,2017,Sedan,Yes,Diesel,1.6,98000 km,4.0,Automatic,Front,04-May,Left wheel,White,4,28.050505050505052
45732617,8467,642,hyundai,sonata,2012,Sedan,Yes,LPG,2,573249 km,4.0,Automatic,Front,04-May,Left wheel,Black,4,23.79824561403509
45803460,14426,639,hyundai,sonata,2014,Sedan,Yes,LPG,2,169024 km,4.0,Automatic,Front,04-May,Left wheel,White,4,23.79824561403509
45787509,22580,779,toyota,camry,2013,Sedan,Yes,Petrol,2.5,156666 km,4.0,Automatic,Front,04-May,Left wheel,Black,12,23.541353383458645
45760052,862,259,chevrolet,volt,2014,Jeep,Yes,Hybrid,1.4,133195 km,4.0,Automatic,Front,04-May,Left wheel,Black,0,39.22222222222222
45809244,7464,247,honda,fit,2014,Hatchback,Yes,Hybrid,1.3,114950 km,4.0,Automatic,Front,04-May,Left wheel,Blue,4,31.692307692307693
45771034,1333,1091,ford,fusion,2016,Sedan,Yes,Petrol,2.5,154850 km,4.0,Automatic,Front,04-May,Left wheel,Black,12,22.444444444444443
45771597,22266,-,ford,fusion,2013,Sedan,Yes,Petrol,1.6 Turbo,85500 km,4.0,Automatic,Front,04-May,Left wheel,Black,8,22.444444444444443
45638142,282,333,ford,fusion,2014,Sedan,Yes,Hybrid,2,0 km,4.0,Automatic,Front,04-May,Left wheel,Silver,0,22.444444444444443
45641194,392,629,nissan,juke,2015,Jeep,Yes,Petrol,1.6,85944 km,4.0,Automatic,4x4,04-May,Left wheel,Black,0,28.571428571428573
45539130,17719,-,toyota,camry,2009,Sedan,Yes,Hybrid,2.4,92000 km,4.0,Tiptronic,Front,04-May,Left wheel,Sky blue,8,23.541353383458645
45659883,43278,1514,lexus,gx 460,2011,Jeep,Yes,Petrol,4.6,160138 km,8.0,Automatic,4x4,04-May,Left wheel,White,0,16.5
44810053,20385,738,chevrolet,cruze,2017,Sedan,No,Petrol,1.4 Turbo,42000 km,4.0,Tiptronic,Front,>5,Left wheel,Black,12,31.0
45803575,9722,765,hyundai,sonata,2015,Sedan,Yes,LPG,2,582376 km,4.0,Automatic,Front,04-May,Left wheel,Orange,4,23.79824561403509
45802041,15241,707,hyundai,genesis,2011,Coupe,Yes,Petrol,2,117492 km,4.0,Automatic,Front,04-May,Left wheel,Grey,4,20.454545454545453
45635110,2587,382,ford,fusion,2015,Sedan,Yes,Hybrid,2,88795 km,4.0,Automatic,Front,04-May,Left wheel,Black,0,22.444444444444443
45766543,4861,779,toyota,camry,2013,Sedan,Yes,Hybrid,2.5,136861 km,4.0,Automatic,Front,04-May,Left wheel,Blue,12,23.541353383458645
45797924,18208,531,hyundai,elantra,2012,Sedan,Yes,Petrol,1.6,95665 km,4.0,Automatic,Front,04-May,Left wheel,Grey,4,28.050505050505052
45811155,549,481,hyundai,sonata,2017,Sedan,Yes,Hybrid,2,107387 km,4.0,Automatic,Front,04-May,Left wheel,Silver,12,23.79824561403509
45812786,2352,-,mazda,323,1998,Hatchback,No,Petrol,1.5,300000 km,4.0,Manual,Front,04-May,Left wheel,Silver,2,25.142857142857142
45800731,18817,738,chevrolet,cruze,2017,Hatchback,Yes,Petrol,1.4,29094 km,4.0,Automatic,Front,04-May,Left wheel,Grey,0,31.0
45813862,4861,382,ford,fusion,2015,Sedan,Yes,Hybrid,2,148709 km,4.0,Automatic,Front,04-May,Left wheel,Red,12,22.444444444444443
45504338,39201,456,toyota,camry,2015,Sedan,Yes,Hybrid,2.5,35000 km,4.0,Automatic,Front,04-May,Left wheel,Grey,10,23.541353383458645
45797233,36426,880,hyundai,elantra,2018,Sedan,Yes,LPG,1.6,35643 km,4.0,Automatic,Front,04-May,Left wheel,White,4,28.050505050505052
45787913,8467,-,honda,civic,2006,Hatchback,No,Petrol,1.8,250000 km,4.0,Manual,Front,04-May,Right-hand drive,Grey,4,29.164473684210527
45548523,46414,456,toyota,avalon,2015,Sedan,Yes,Hybrid,2.5,63645 km,4.0,Tiptronic,Front,04-May,Left wheel,White,12,23.066666666666666
45793536,12231,-,hyundai,elantra,2013,Coupe,No,Petrol,1.8,77000 km,6.0,Manual,Front,02-Mar,Left wheel,Beige,0,28.050505050505052
45776871,5802,988,toyota,prius,2007,Hatchback,Yes,Hybrid,1.5,140000 km,4.0,Variator,Front,04-May,Left wheel,Green,12,48.625
45815909,2901,1277,hyundai,sonata,2018,Sedan,Yes,Petrol,2.4,45494 km,4.0,Automatic,Front,04-May,Left wheel,White,12,23.79824561403509
45767606,1882,442,toyota,prius,2017,Sedan,Yes,Hybrid,1.8,47672 km,4.0,Automatic,Front,04-May,Left wheel,White,12,48.625
45706976,11290,-,honda,fit,2013,Sedan,No,Hybrid,1.3,145000 km,4.0,Automatic,Front,04-May,Right-hand drive,Silver,8,31.692307692307693
45792706,14426,-,toyota,camry,2006,Sedan,Yes,Hybrid,2.4,188800 km,4.0,Variator,Front,04-May,Left wheel,Grey,8,23.541353383458645
45809396,25365,502,honda,fit,2013,Hatchback,Yes,Petrol,1.5,34682 km,4.0,Automatic,Front,04-May,Left wheel,Grey,4,31.692307692307693
45763292,1725,777,chevrolet,malibu,2014,Sedan,Yes,Petrol,2.5,310061 km,4.0,Automatic,Front,04-May,Left wheel,Blue,12,24.815384615384616
45754843,314,1399,acura,tl,2010,Sedan,Yes,Petrol,3.5,162453 km,6.0,Automatic,Front,04-May,Left wheel,Silver,12,20.833333333333332
45806345,17249,586,toyota,prius,2012,Sedan,No,Hybrid,1.8,22400 km,4.0,Automatic,Front,04-May,Left wheel,White,8,48.625
45756945,31361,639,hyundai,sonata,2014,Sedan,Yes,Petrol,2.0 Turbo,62000 km,4.0,Tiptronic,Front,04-May,Left wheel,White,12,23.79824561403509
45797127,4704,1047,hyundai,elantra,2007,Sedan,Yes,Diesel,1.6,54279 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4,28.050505050505052
45809778,12720,645,chevrolet,cruze,2011,Sedan,Yes,Petrol,1.8,135759 km,4.0,Automatic,Front,04-May,Left wheel,Grey,4,31.0
45786770,13485,-,bmw,x5,2003,Jeep,Yes,LPG,3,189000 km,6.0,Tiptronic,4x4,04-May,Right-hand drive,Black,10,15.619047619047619
45730143,25591,528,hyundai,elantra,2014,Sedan,Yes,Petrol,1.6,140000 km,4.0,Automatic,Front,04-May,Left wheel,White,4,28.050505050505052
45813961,251,1493,lexus,rx 350,2016,Jeep,Yes,Petrol,3.5,107030 km,6.0,Automatic,4x4,04-May,Left wheel,Grey,12,22.692307692307693
45764921,39829,1811,lexus,gx 460,2010,Jeep,Yes,Petrol,4.6,155821 km,8.0,Automatic,4x4,04-May,Left wheel,Black,0,16.5
45808996,8097,790,daewoo,lacetti,2009,Sedan,Yes,Petrol,1.6,130000 km,4.0,Automatic,Front,04-May,Left wheel,Black,4,22.0
45811316,12388,919,bmw,x5,2012,Jeep,Yes,Diesel,3,420794 km,6.0,Automatic,4x4,04-May,Left wheel,Black,12,15.619047619047619
45782212,18503,-,hyundai,sonata,2012,Sedan,No,Hybrid,2,280480 km,4.0,Automatic,Front,04-May,Left wheel,Silver,9,23.79824561403509
45624104,12231,574,honda,insight,2010,Sedan,No,Hybrid,1.3,150000 km,4.0,Variator,Front,04-May,Left wheel,Black,12,46.892857142857146
42427923,40,-,honda,fit,2002,Hatchback,No,Petrol,1.3,135000 km,4.0,Variator,Front,04-May,Right-hand drive,Black,4,31.692307692307693
45803109,9565,765,hyundai,sonata,2015,Sedan,Yes,LPG,2,42000 km,4.0,Automatic,Front,04-May,Left wheel,Orange,4,23.79824561403509
45810274,24302,765,chevrolet,malibu,2015,Sedan,Yes,Diesel,2,60618 km,4.0,Automatic,Front,04-May,Left wheel,Black,4,24.815384615384616
45816654,18817,-,toyota,camry,2009,Sedan,Yes,Petrol,2.4,230400 km,4.0,Automatic,Front,04-May,Left wheel,Silver,12,23.541353383458645
45809770,1960,777,nissan,altima,2014,Sedan,Yes,Petrol,2.5,127918 km,4.0,Automatic,Front,04-May,Left wheel,Red,12,24.705882352941178
45682514,17249,1051,hyundai,sonata,2016,Sedan,No,Petrol,2.4,77000 km,4.0,Tiptronic,Front,04-May,Left wheel,Silver,10,23.79824561403509
45732640,15530,891,hyundai,sonata,2016,Sedan,Yes,LPG,2,280016 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4,23.79824561403509
45803334,11290,891,hyundai,sonata,2016,Sedan,Yes,LPG,2,270874 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4,23.79824561403509
45235243,24148,-,toyota,prius,2013,Hatchback,No,Hybrid,1.8,118000 km,4.0,Automatic,Front,04-May,Left wheel,Sky blue,12,48.625
45732741,10036,639,hyundai,sonata,2014,Sedan,Yes,LPG,2,362868 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4,23.79824561403509
45569356,18817,697,hyundai,elantra,2015,Sedan,No,Petrol,1.8,85000 km,4.0,Tiptronic,Front,04-May,Left wheel,Black,12,28.050505050505052
